Age1,Race,Sex,State,Crime,Convicted,Exonerated,Sentence,Lost,Age2,id
30,Black,Male,Illinois,Drug Possession or Sale,2007,2017,7 years,10,40,79
33,Caucasian,Male,Maine,Child Sex Abuse,2012,2017,4 years,5,38,80
52,Black,Male,Texas,Drug Possession or Sale,2009,2017,10 months,8,60,81
30,Black,Male,Texas,Drug Possession or Sale,2009,2017,90 days,8,38,82
23,Hispanic,Female,Illinois,Murder,2011,2017,58 years,6,29,83
23,Black,Male,New York,Murder,2013,2017,25 years to life,4,27,84
42,Black,Male,Illinois,Drug Possession or Sale,2009,2017,2 years,8,50,85
66,Caucasian,Male,Mississippi,Murder,2011,2017,Life,6,72,86
30,Black,Male,New Jersey,Robbery,2010,2017,20 years,7,37,87
39,Caucasian,Male,Montana,Child Sex Abuse,2012,2017,20 years,5,44,88
29,Caucasian,Male,Wisconsin,Other Nonviolent Felony,2013,2017,Life without parole,4,33,89
30,Black,Male,Louisiana,Drug Possession or Sale,2012,2017,Life,5,35,90
22,Black,Male,Delaware,Murder,2012,2017,Death,5,27,91
26,Black,Male,California,Murder,2014,2017,Life without parole,3,29,92
42,Hispanic,Male,Louisiana,Assault,2011,2017,7 years,6,48,93
26,Black,Male,Georgia,Assault,2012,2017,20 years,5,31,94
37,Caucasian,Male,North Carolina,Child Sex Abuse,2013,2017,25 to 30 years and 9 months,4,41,95
30,Black,Male,Mississippi,Assault,2011,2017,Fine,6,36,96
22,Black,Male,Louisiana,Murder,2013,2017,Death,4,26,97
54,Black,Male,Georgia,Perjury,2015,2017,1 year and 6 months,2,56,98
21,Caucasian,Female,Montana,Child Abuse,2014,2017,5 years,3,24,99
45,Hispanic,Male,Texas,Child Sex Abuse,2013,2017,10 years,4,49,100
45,Caucasian,Male,Michigan,Perjury,2015,2017,1 year and 8 months,2,47,101
20,Black,Male,Michigan,Attempted Murder,2013,2017,16 to 27 years,4,24,102
30,Caucasian,Male,Utah,Murder,2014,2017,16 to life,3,33,103
31,Caucasian,Male,Michigan,Child Sex Abuse,2015,2017,Not sentenced,2,33,104
45,Asian,Male,Fed-MD,Fraud,2014,2017,Not sentenced,3,48,105
37,Caucasian,Female,Texas,Drug Possession or Sale,2013,2017,1 year,4,41,106
,Asian,Male,Fed-MD,Fraud,2014,2017,Probation,3,3,107
59,Caucasian,Male,Florida,Fraud,2013,2017,6 years,4,63,108
27,Asian,Male,Fed-MD,Fraud,2014,2017,1 year and 1 month,3,30,109
29,Asian,Male,Fed-MD,Fraud,2014,2017,Not sentenced,3,32,110
43,Caucasian,Male,Michigan,Other Violent Felony,2014,2017,40 to 80 years,3,46,111
40,Caucasian,Male,Michigan,Child Sex Abuse,2014,2017,4 to 15 years,3,43,112
25,Black,Female,Texas,Drug Possession or Sale,2014,2017,90 days,3,28,113
50,Caucasian,Female,Utah,Theft,2014,2017,Probation,3,53,114
48,Black,Male,Texas,Other Nonviolent Felony,2014,2017,5 years,3,51,115
47,Black,Male,Texas,Drug Possession or Sale,2014,2017,90 days,3,50,116
42,Asian,Male,Texas,Sex Offender Registration,2015,2017,2 years,2,44,117
36,Caucasian,Male,Michigan,Child Sex Abuse,2015,2017,25 to 75 years,2,38,118
24,Hispanic,Male,Texas,Drug Possession or Sale,2015,2017,20 days,2,26,119
56,Caucasian,Male,California,Other,2016,2017,Fine,1,57,120
28,Black,Male,New York,Weapon Possession or Sale,2016,2017,Not sentenced,1,29,121
33,Caucasian,Female,Fed-VA,Conspiracy,2016,2017,Not sentenced,1,34,122
17,Black,Male,Ohio,Robbery,2016,2017,Not sentenced,1,18,123
32,Caucasian,Male,Texas,Drug Possession or Sale,2015,2017,2 years,2,34,124
18,Black,Male,Michigan,Attempted Murder,2015,2017,13 to 32 years,2,20,125
24,Hispanic,Male,New York,Weapon Possession or Sale,2015,2017,1 1/2 to 3 years,2,26,126
26,Black,Male,New York,Weapon Possession or Sale,2016,2017,2 to 4 years,1,27,127
37,Hispanic,Male,Fed-NY,Weapon Possession or Sale,2016,2017,Not sentenced,1,38,128
31,Caucasian,Male,Fed-Military,Sexual Assault,2016,2017,7 years,1,32,129
25,Asian,Male,Texas,Weapon Possession or Sale,2016,2017,15 days,1,26,130
42,Asian,Male,Texas,Sex Offender Registration,2015,2017,2 years,2,44,131
21,Caucasian,Male,Iowa,Drug Possession or Sale,2015,2017,31 days,2,23,132
26,Black,Male,New York,Weapon Possession or Sale,2016,2017,2 to 4 years,1,27,133
28,Caucasian,Male,Texas,Drug Possession or Sale,2016,2017,4 days,1,29,134
47,Black,Male,New York,Weapon Possession or Sale,2016,2017,2 to 4 years,1,48,135
22,Caucasian,Male,California,Traffic Offense,2017,2017,4 days work release,0,22,136
27,Black,Male,Texas,Drug Possession or Sale,2017,2017,6 months,0,27,137
36,Black,Female,Texas,Drug Possession or Sale,2017,2017,Probation,0,36,138
30,Caucasian,Male,Texas,Drug Possession or Sale,2017,2017,6 days,0,30,139
28,Black,Male,Ohio,Robbery,2017,2017,Not sentenced,0,28,140
